load,throughput,latency,cpu0,cpu1,cpu2,cpu3,ram,disk,net_sent,net_recv
256,5037.66,50.755,1.42,0.6,49.9,100.0,43.519999999999996,16.4,4759506.2,4759706.2
512,4982.55,102.311,0.4,0.2,49.9,100.0,43.7,16.4,4712021.8,4712221.8
